id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,105,63,148,2023-05-25,0.80,1,333,0,"First name and Last name: Nicolas Krotz <br/> Contact address: bouchestr. , 12435, berlin, berlin <br/>Listing address: Bouchestr. , 12435, Berlin , Germany "
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,180,6,7,2020-01-04,0.06,1,22,0,03/Z/RA/003410-18
14325,Studio Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,70,150,26,2023-11-30,0.15,4,270,1,
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50312,13.43508,Entire home/apt,90,93,48,2017-12-14,0.28,2,17,0,
17904,Beautiful Kreuzberg studio - 3 months minimum,68997,Matthias,Neukölln,Reuterstraße,52.49419,13.42166,Entire home/apt,28,92,299,2022-12-01,1.68,1,16,0,
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53711,13.40888,Entire home/apt,227,3,134,2024-08-02,0.92,1,170,16,03/Z/RA/006926-22
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5046,13.43374,Entire home/apt,70,93,60,2016-06-05,0.35,2,0,0,
22438,WOHNUNG IN BERLIN ★ MITTE,86159,Javier,Mitte,Brunnenstr. Süd,52.53408,13.38871,Entire home/apt,53,93,182,2023-07-31,1.11,1,17,0,
22677,"""Prenzel Garten"" mit Terrasse",87357,Ramfis,Mitte,Brunnenstr. Süd,52.53355,13.40476,Entire home/apt,171,3,530,2024-09-10,3.12,1,270,79,01/Z/NA/004976-16
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49134,13.37975,Entire home/apt,65,185,98,2019-08-31,0.56,1,275,0,
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54419,13.41956,Entire home/apt,260,180,201,2023-09-27,1.17,1,365,1,03/Z/RA/005604-20
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,70,150,34,2022-02-06,0.20,4,339,0,
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54367,13.42431,Entire home/apt,130,92,82,2024-07-12,0.48,3,320,2,
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596,13.42291,Entire home/apt,126,4,459,2024-09-17,2.69,4,298,57,"First name and Last name: Michele Fossi  (michelefossi@gmail.com) <br/> Contact address: Kastanienallee 10, DG rechts , 10435, Berlin, Germany <br/>Listing address: Ahlbeckerstr. 11A, VdH Rechts - Gewerbeeinheit, 10437, Berlin, Berlin"
34854,"Ku'damm-Nähe,sonnig,ruhig,Balkon",145583,Christian,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49546,13.30858,Entire home/apt,60,92,1,2024-05-31,0.27,2,322,1,
